ID,Candidate State,Age Range,Sex,Protected category,Study area,Study Title,Years Experience,Sector,Year of insertion,Year of Recruitment,Assumption Headquarters,Job Family Hiring,Job Title Hiring,Years Experience.1,Minimum Ral,Ral Maximum,Study Level,Study Area.1,Akkodis headquarters,Current Ral,Expected Ral,City,Province,Region
23833,Imported,26 - 30 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,VALDENGO,Biella,Piedmont
23841,Imported,26 - 30 years,Male,,Mechanical engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
23847,First contact,26 - 30 years,Female,,Biomedical Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,MONGRASSANO,Cosenza,Calabria
23852,Imported,26 - 30 years,Female,,Biomedical Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
23854,Hired,31 - 35 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,master's degree,[3-5],Space,2018,2021,Rome,Engineering,Consultant,[1-3],28-30K,30-32K,Five-year degree,Aeronautical/Aerospace/Astronautics Engineering,Rome,,,CALTANISSETTA,Caltanissetta,Sicily
23857,Imported,20 - 25 years,Female,,electronic Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
23860,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,CAVA DE' TIRRENI,Salerno,Campania
23869,In selection,< 20 years,Female,,Psychology,High school graduation,[5-7],Oil and Gas,2022,,,,,,,,,,,,,BELARUS,(STATE),(OVERSEAS)
23871,Imported,26 - 30 years,Female,,Electrical Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,SANT'AGATA DE' GOTI,Benevento,Campania
23892,In selection,26 - 30 years,Female,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,VAST,Chieti,Abruzzo
23914,In selection,26 - 30 years,Female,,Linguistics,Five-year degree,[1-3],Consulting,2022,,,,,,,,,,,28-30 K,30-32 K,ROME,Rome,Lazio
23924,Imported,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,CATANIA,Catania,Sicily
23926,First contact,20 - 25 years,Male,,Mechanical engineering,Five-year degree,[0],Others,2021,,,,,,,,,,,,,TRIGGIANO,Bari,Puglia
23934,Imported,31 - 35 years,Male,,,Doctorate,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
23937,Imported,20 - 25 years,Female,,Information Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,BRINDISI,Brindisi,Puglia
23942,Vivier,36 - 40 years,Male,,Architecture,Three-year degree,[+10],Oil and Gas,2020,,,,,,,,,,,,,CAPOTERRA,Cagliari,Sardinia
23948,Imported,20 - 25 years,Male,,Mechanical engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,ASTI,Asti,Piedmont
23953,Imported,26 - 30 years,Male,,Mechanical engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,ROME,Rome,Lazio
23954,Imported,26 - 30 years,Male,,computer engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
23958,Imported,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,IMPERIA,Imperia,Liguria
23962,Imported,20 - 25 years,Male,,Biomedical Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,CANOSA DI PUGLIA,Barletta-Andria-Trani,Puglia
23968,Imported,26 - 30 years,Male,,Telecommunications Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,JACURSO,Catanzaro,Calabria
23973,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,CUNEO,Cuneo,Piedmont
23976,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
23977,First contact,20 - 25 years,Male,,Chemist - Pharmaceutical,Five-year degree,[0],Life sciences,2023,,,,,,,,,,,Not available,Not available,MILAN,Milan,Lombardy
23983,Imported,20 - 25 years,Male,,Management Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,TARANTO,Taranto,Puglia
23986,QM,36 - 40 years,Male,,computer engineering,Five-year degree,[5-7],Services and Information Systems,2021,,,,,,,,,,,24-26 K,,TAORMINA,Messina,Sicily
24005,In selection,< 20 years,Male,,computer engineering,Five-year degree,[5-7],Others,2022,,,,,,,,,,,,,TRIUGGIO,Monza-Brianza,Lombardy
24009,Imported,26 - 30 years,Male,,Management Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,RIVALTA DI TURIN,Turin,Piedmont
24015,First contact,36 - 40 years,Male,,electronic Engineering,Three-year degree,[7-10],Others,2021,,,,,,,,,,,,,NAPLES,Naples,Campania
24026,Imported,26 - 30 years,Male,,Biomedical Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,FOSSANO,Cuneo,Piedmont
24037,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,CANOSA DI PUGLIA,Barletta-Andria-Trani,Puglia
24045,Imported,26 - 30 years,Male,,Automation/Mechatronics Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TASSAROLO,Alessandria,Piedmont
24050,In selection,< 20 years,Female,,Biomedical Engineering,Five-year degree,[0],Others,2022,,,,,,,,,,,,,PETILIA POLICASTRO,Crotone,Calabria
24051,First contact,26 - 30 years,Male,,Electrical Engineering,Five-year degree,[3-5],Others,2021,,,,,,,,,,,,,MILAN,Milan,Lombardy
24054,Imported,26 - 30 years,Female,,Automation/Mechatronics Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,ADELFIA,Bari,Puglia
24057,Imported,26 - 30 years,Male,,Biomedical Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
24065,First contact,> 45 years,Male,,Other scientific subjects,High school graduation,[+10],Others,2022,,,,,,,,,,,,,AGAZZANO,Piacenza,Emilia Romagna
24074,Imported,26 - 30 years,Female,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
24075,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,PALERMO,Palermo,Sicily
24084,First contact,26 - 30 years,Male,,Naval Engineering,Three-year degree,[0-1],Naval,2022,,,,,,,,,,,,,MANFREDONIA,Foggia,Puglia
24085,Imported,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,BARLETTA,Barletta-Andria-Trani,Puglia
24086,Imported,20 - 25 years,Male,,Information Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,SALENTINA FIELDS,Lecce,Puglia
24104,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,LATINA,Latina,Lazio
24108,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
24111,In selection,< 20 years,Male,,Other,Five-year degree,[0],Others,2022,,,,,,,,,,,,,ROME,Rome,Lazio
24114,First contact,< 20 years,Male,,computer engineering,Five-year degree,[0],Services and Information Systems,2023,,,,,,,,,,,Not available,Not available,MILAN,Milan,Lombardy
24119,Imported,26 - 30 years,Female,,Biomedical Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,FLORENCE,Florence,Tuscany
